anio,mes,fecha,tramo,A,M,B2,B3,B4,C2,C3,C4,C5,C6,C7,C8,C9,total,AT,BT,CT,AT1
2023,1,2023-01-01,Tijuana-Ensenada,1332545.0,7663.0,14714.0,1131.0,44.0,24893.0,10931.0,1828.0,52057.0,2999.0,280.0,313.0,11711.0,1461109.0,1340208.0,15889.0,105012.0,1461109.0
2023,1,2023-01-01,Rancho Viejo-Taxco,94565.0,7446.0,2539.0,124.0,,2301.0,609.0,61.0,178.0,118.0,,,,107941.0,102011.0,2663.0,3267.0,107941.0
2023,1,2023-01-01,La Rumorosa-Tecate,224253.0,513.0,8427.0,2652.0,14.0,9184.0,3914.0,1579.0,33145.0,2175.0,418.0,142.0,11302.0,297718.0,224766.0,11093.0,61859.0,297718.0
2023,1,2023-01-01,Salina Cruz-La Ventosa,114211.0,3121.0,1483.0,598.0,,7713.0,5304.0,650.0,6467.0,3963.0,222.0,170.0,9075.0,152977.0,117332.0,2081.0,33564.0,152977.0
2023,1,2023-01-01,Chamapa-Lecheria,2993345.0,126092.0,22661.0,518.0,2.0,111143.0,56435.0,4032.0,57876.0,5919.0,206.0,36.0,7915.0,3386180.0,3119437.0,23181.0,243562.0,3386180.0
2023,1,2023-01-01,Estacion Don-Nogales,1017827.0,2327.0,48494.0,30610.0,12.0,41924.0,29048.0,19719.0,297667.0,35325.0,3761.0,592.0,134655.0,1661961.0,1020154.0,79116.0,562691.0,1661961.0
2023,1,2023-01-01,Durango-Mazatlan,221945.0,2049.0,7864.0,3595.0,8.0,10099.0,16105.0,2168.0,56853.0,6872.0,1895.0,876.0,42297.0,372626.0,223994.0,11467.0,137165.0,372626.0
2023,1,2023-01-01,Lagos de Moreno-San Luis Potosi,72394.0,346.0,2180.0,466.0,1.0,6401.0,6265.0,1605.0,50804.0,6172.0,1110.0,199.0,23773.0,171716.0,72740.0,2647.0,96329.0,171716.0
2023,1,2023-01-01,Libramiento Amecameca-Nepantla,251191.0,5293.0,2208.0,137.0,1.0,12531.0,11590.0,1955.0,15159.0,3441.0,133.0,55.0,4525.0,308219.0,256484.0,2346.0,49389.0,308219.0
2023,1,2023-01-01,Aeropuerto Los Cabos-San Jose del Cabo-Cabo San Lucas,332616.0,552.0,1550.0,174.0,1.0,2452.0,751.0,98.0,1210.0,791.0,60.0,24.0,1032.0,341311.0,333168.0,1725.0,6418.0,341311.0
2023,1,2023-01-01,Libramiento Poniente de Acapulco,54704.0,1281.0,411.0,238.0,,1719.0,1658.0,277.0,910.0,551.0,7.0,6.0,194.0,61956.0,55985.0,649.0,5322.0,61956.0
2023,1,2023-01-01,Puente el Zacatal,88023.0,1574.0,5998.0,2080.0,3.0,8761.0,6988.0,1234.0,21863.0,3630.0,151.0,55.0,11179.0,151539.0,89597.0,8081.0,53861.0,151539.0
2023,2,2023-02-01,Cuernavaca-Acapulco,2224033.0,88348.0,59694.0,21116.0,105.0,55353.0,45929.0,7864.0,43436.0,15979.0,608.0,471.0,16467.0,2579403.0,2312381.0,80915.0,186107.0,2579403.0
2023,2,2023-02-01,Cordoba-Veracruz,572801.0,18798.0,22006.0,6284.0,4.0,44579.0,48443.0,7126.0,112282.0,23494.0,2926.0,684.0,97388.0,956815.0,591599.0,28294.0,336922.0,956815.0
2023,2,2023-02-01,La Tinaja-Cosoleacaque,353399.0,7959.0,23978.0,11790.0,6.0,41578.0,56050.0,11683.0,166170.0,36651.0,3677.0,1526.0,118881.0,833348.0,361358.0,35774.0,436216.0,833348.0
2023,2,2023-02-01,Lib Noreste de Queretaro,210605.0,1366.0,4328.0,3240.0,6.0,37012.0,27661.0,4847.0,195122.0,19874.0,1067.0,200.0,34619.0,539947.0,211971.0,7574.0,320402.0,539947.0
2023,2,2023-02-01,Libramiento Oriente de Saltillo,132073.0,1136.0,9897.0,9487.0,1211.0,19942.0,9966.0,2001.0,219324.0,18730.0,1573.0,418.0,31434.0,457192.0,133209.0,20595.0,303388.0,457192.0
2023,2,2023-02-01,La Carbonera-Puerto Mexico,147580.0,871.0,11461.0,9747.0,1.0,21890.0,11263.0,3816.0,235199.0,18957.0,1535.0,398.0,32120.0,494838.0,148451.0,21209.0,325178.0,494838.0
2023,2,2023-02-01,Libramiento Poniente de Tampico,217306.0,8078.0,1136.0,102.0,4.0,16240.0,12478.0,2460.0,29574.0,10309.0,1001.0,167.0,24607.0,323462.0,225384.0,1242.0,96836.0,323462.0
2023,2,2023-02-01,Champoton-Campeche,156483.0,4191.0,4389.0,1211.0,,9586.0,10238.0,1930.0,26918.0,5990.0,417.0,75.0,16077.0,237505.0,160674.0,5600.0,71231.0,237505.0
2023,2,2023-02-01,Gomez Palacio-Corralitos,74753.0,276.0,12163.0,6925.0,1.0,7487.0,8870.0,5507.0,86229.0,16696.0,2996.0,478.0,25730.0,248111.0,75029.0,19089.0,153993.0,248111.0
2023,2,2023-02-01,Torreon-Saltillo,195225.0,634.0,16785.0,11051.0,3.0,10383.0,6237.0,6022.0,106107.0,20317.0,3669.0,613.0,44934.0,421980.0,195859.0,27839.0,198282.0,421980.0
2023,2,2023-02-01,Tihuatlan-Gutierrez Zamora,91482.0,1443.0,1217.0,1015.0,4.0,5973.0,7131.0,1740.0,15304.0,5858.0,327.0,88.0,9529.0,141111.0,92925.0,2236.0,45950.0,141111.0
2023,2,2023-02-01,Agua Dulce-Cardenas,139237.0,1369.0,5210.0,3132.0,,16536.0,17127.0,3368.0,58253.0,11849.0,1096.0,426.0,35599.0,293202.0,140606.0,8342.0,144254.0,293202.0
2023,2,2023-02-01,Las Choapas-Ocozocoautla,211573.0,4938.0,9804.0,4431.0,,25383.0,29644.0,3156.0,57649.0,9086.0,1164.0,909.0,37160.0,394897.0,216511.0,14235.0,164151.0,394897.0
2023,2,2023-02-01,Mexico-Cuernavaca,748904.0,20555.0,29089.0,9417.0,54.0,23276.0,17193.0,2241.0,23636.0,5053.0,486.0,85.0,6792.0,886781.0,769459.0,38560.0,78762.0,886781.0
